                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1167,                 1.1648,                 1.1705,                0.00189,                0.56716,                0.01906,                0.00523,                 1.0514,                0.93564,                 1.0081,               0.093806,                6.2e-06,                6.2e-06
                      2,                 1.0977,                0.68046,                 1.1301,                0.00406,                0.45274,                0.02081,                0.00541,                 1.0893,                 12.532,                 1.0478,               0.087562,              1.245e-05,              1.245e-05
                      3,                 1.1557,                0.59126,                 1.2643,                0.10384,                0.26866,                0.13163,                0.03882,                 1.0093,                0.81333,                0.99598,               0.081319,               1.87e-05,               1.87e-05
                      4,                 1.1192,                0.55582,                  1.184,                0.16587,                0.21393,                0.11732,                0.02703,                  1.079,                 1.1053,                 1.0397,               0.075075,              2.495e-05,              2.495e-05
                      5,                 1.1462,                0.54375,                 1.2251,                0.17928,                0.20398,                0.10838,                0.02609,                 1.0505,                 0.7082,                 1.0026,               0.068831,               3.12e-05,               3.12e-05
                      6,                 1.1213,                 0.5219,                 1.2146,                0.08939,                0.05473,                0.02625,                0.00412,                 1.2619,                0.57602,                 1.2364,               0.062587,              3.745e-05,              3.745e-05
                      7,                 1.1278,                0.53008,                 1.1919,                0.37259,                0.33831,                0.27151,                0.08208,                 1.0156,                0.60174,                 1.0092,               0.056344,               4.37e-05,               4.37e-05
                      8,                 1.1276,                0.48095,                 1.2245,                0.42776,                0.34826,                0.29277,                0.08363,                 1.0357,                0.60606,                 1.0443,                 0.0501,              4.995e-05,              4.995e-05
                      9,                 1.1355,                 0.4548,                 1.2457,                0.56338,                0.33382,                0.34509,                0.09512,                  1.057,                0.53188,                 1.0538,               0.043856,               5.62e-05,               5.62e-05
                     10,                 1.1477,                0.42803,                 1.2314,                0.35793,                0.18905,                0.14621,                0.03893,                 1.1306,                0.59428,                 1.0992,               0.037612,              6.245e-05,              6.245e-05
                     11,                 1.1263,                0.43355,                  1.228,                0.59708,                0.42786,                0.41106,                0.12297,                 1.0388,                0.50014,                 1.0991,               0.031369,               6.87e-05,               6.87e-05
                     12,                 1.1299,                0.40781,                 1.1886,                0.48496,                0.35323,                0.31204,                0.07979,                 1.1183,                0.50019,                 1.1116,               0.025125,              7.495e-05,              7.495e-05
                     13,                 1.1198,                0.40322,                 1.1815,                0.54996,                0.35821,                0.31657,                0.09586,                  1.137,                 0.3678,                 1.1433,               0.018881,               8.12e-05,               8.12e-05
                     14,                 1.1464,                0.37788,                 1.2095,                0.61854,                0.45176,                0.38502,                0.13128,                 1.0369,                0.48611,                 1.0562,               0.012637,              8.745e-05,              8.745e-05
                     15,                 1.1141,                0.40883,                 1.1583,                0.63889,                0.44012,                0.40595,                0.12438,                 1.0456,                0.42909,                  1.041,              0.0063937,               9.37e-05,               9.37e-05
                     16,                 1.0299,                0.46255,                 1.0366,                 0.7518,                0.64179,                0.66306,                0.19389,                0.88155,                0.53514,                0.73754,             0.00014995,              9.995e-05,              9.995e-05
                     17,                0.78607,                0.58111,                0.66132,                0.72275,                0.75124,                0.76114,                0.24155,                0.77869,                0.58898,                0.54916,                 0.0001,                 0.0001,                 0.0001
                     18,                0.71926,                0.60831,                0.53608,                0.83198,                 0.7637,                0.84136,                0.37063,                0.66492,                0.57272,                0.45492,                 0.0001,                 0.0001,                 0.0001
                     19,                0.70449,                0.56232,                0.53822,                0.86162,                0.77445,                0.83593,                0.44588,                0.57213,                0.64218,                 0.4049,                 0.0001,                 0.0001,                 0.0001
                     20,                0.60537,                0.58907,                0.44325,                0.88878,                0.81592,                0.88666,                0.45561,                 0.6469,                0.55763,                 0.3888,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.5855,                0.53512,                0.42797,                0.85248,                0.83085,                0.85701,                0.44458,                0.59389,                0.54739,                0.44704,                 0.0001,                 0.0001,                 0.0001
                     22,                0.51625,                0.56615,                0.36098,                0.93142,                0.87841,                0.91463,                0.59096,                0.48994,                 0.4918,                0.30222,                 0.0001,                 0.0001,                 0.0001
                     23,                0.51025,                0.55138,                0.34022,                0.90621,                0.89552,                0.91658,                0.55768,                0.55216,                0.47943,                0.35826,                 0.0001,                 0.0001,                 0.0001
                     24,                0.50596,                0.50827,                0.35798,                0.93279,                0.89768,                0.92655,                0.56096,                0.52058,                0.48822,                0.34688,                 0.0001,                 0.0001,                 0.0001
                     25,                0.51327,                0.50961,                0.36675,                0.92309,                 0.8408,                0.91508,                0.57428,                0.45653,                0.54126,                0.27175,                 0.0001,                 0.0001,                 0.0001
                     26,                 0.4725,                0.53442,                0.33919,                0.92624,                0.89552,                0.91344,                0.59313,                0.46809,                0.51543,                0.30727,                 0.0001,                 0.0001,                 0.0001
                     27,                 0.4825,                0.48191,                0.34331,                0.92684,                0.88236,                0.92756,                0.62604,                0.44339,                0.47738,                0.27509,                 0.0001,                 0.0001,                 0.0001
                     28,                0.46231,                 0.4928,                0.30919,                0.92432,                0.91148,                0.93148,                0.63042,                0.44939,                0.46285,                0.27229,                 0.0001,                 0.0001,                 0.0001
                     29,                0.46798,                0.51254,                 0.3083,                0.93893,                0.91784,                 0.9311,                0.64614,                0.42845,                0.45896,                0.27974,                 0.0001,                 0.0001,                 0.0001
                     30,                0.45838,                0.49554,                0.31485,                0.92727,                 0.9005,                0.92024,                0.63052,                0.44242,                 0.4762,                0.28946,                 0.0001,                 0.0001,                 0.0001
                     31,                0.42785,                0.48482,                0.29448,                0.90125,                0.89055,                 0.9172,                 0.6582,                0.42799,                0.45084,                0.27439,                 0.0001,                 0.0001,                 0.0001
                     32,                0.42681,                0.47583,                0.29215,                0.93918,                0.91542,                 0.9302,                0.65947,                  0.396,                0.46489,                0.23917,                 0.0001,                 0.0001,                 0.0001
                     33,                0.42444,                0.46875,                0.29415,                0.94229,                0.92537,                0.94595,                 0.6954,                 0.3915,                0.41507,                0.23553,                 0.0001,                 0.0001,                 0.0001
                     34,                0.41145,                0.46453,                0.28417,                0.94814,                0.90952,                0.93202,                0.66325,                0.41445,                0.43758,                0.25972,                 0.0001,                 0.0001,                 0.0001
                     35,                0.40697,                0.45974,                0.28069,                0.92417,                0.93035,                0.93566,                0.66476,                0.42724,                0.39772,                0.28043,                 0.0001,                 0.0001,                 0.0001
                     36,                0.42121,                0.44392,                0.31334,                0.95401,                0.92893,                0.93974,                0.66952,                0.41764,                0.40087,                0.27217,                 0.0001,                 0.0001,                 0.0001
