                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1182,                0.89859,                  1.201,                0.03781,                0.23881,                0.02668,                0.00687,                  1.012,                0.79638,                0.97906,               0.093806,                6.2e-06,                6.2e-06
                      2,                 1.0686,                0.66457,                 1.1336,                0.03945,                0.21891,                0.04066,                0.01099,                 1.1533,                 1.7038,                 1.1346,               0.087562,              1.245e-05,              1.245e-05
                      3,                  1.174,                0.57972,                 1.2892,                0.14245,                0.38806,                0.13604,                0.04037,                0.99317,                  1.148,                 1.0737,               0.081319,               1.87e-05,               1.87e-05
                      4,                 1.0709,                0.58753,                 1.1538,                 0.2278,                0.15118,                0.09613,                0.02377,                 1.0298,                 1.0448,                 1.1562,               0.075075,              2.495e-05,              2.495e-05
                      5,                 1.1055,                0.55649,                 1.2087,                0.15134,                0.22388,                0.10939,                0.02252,                 1.0954,                0.63588,                 1.0716,               0.068831,               3.12e-05,               3.12e-05
                      6,                 1.0877,                0.55267,                 1.1943,                0.44126,                0.37811,                0.30012,                0.09689,                 1.0138,                0.94261,                 1.0457,               0.062587,              3.745e-05,              3.745e-05
                      7,                 1.1136,                0.50154,                  1.223,                0.51335,                0.24378,                0.25345,                0.08201,                 1.0208,                0.62431,                0.99919,               0.056344,               4.37e-05,               4.37e-05
                      8,                 1.1017,                0.50187,                 1.2128,                0.50712,                0.37811,                0.31833,                0.08579,                 1.0014,                0.58542,                 1.0027,                 0.0501,              4.995e-05,              4.995e-05
                      9,                 1.1067,                0.45771,                 1.2154,                 0.5514,                0.35821,                0.33581,                0.07936,                 1.0936,                0.49561,                 1.1165,               0.043856,               5.62e-05,               5.62e-05
                     10,                 1.0714,                 0.4748,                  1.184,                 0.5193,                0.28358,                0.29072,                0.09332,                  1.084,                0.49706,                 1.0881,               0.037612,              6.245e-05,              6.245e-05
                     11,                 1.0342,                0.48774,                 1.0684,                0.68024,                0.65619,                0.66799,                0.24975,                0.80819,                0.62534,                 0.7131,               0.031369,               6.87e-05,               6.87e-05
                     12,                0.82725,                0.62373,                0.70029,                0.48481,                0.55224,                0.45303,                0.10124,                0.92819,                0.59001,                0.72652,               0.025125,              7.495e-05,              7.495e-05
                     13,                0.77993,                0.61437,                0.61922,                0.70784,                 0.6509,                0.69058,                0.22054,                0.76704,                0.62312,                0.61572,               0.018881,               8.12e-05,               8.12e-05
                     14,                0.74216,                0.62432,                0.60093,                0.67655,                0.61692,                0.65863,                0.24438,                0.73909,                0.66953,                0.58837,               0.012637,              8.745e-05,              8.745e-05
                     15,                0.72702,                0.59075,                0.57043,                0.82441,                0.77086,                0.83008,                0.37213,                0.63795,                0.60126,                0.46376,              0.0063937,               9.37e-05,               9.37e-05
                     16,                0.66705,                0.57257,                0.52801,                0.81428,                0.74165,                0.78542,                0.32219,                0.66236,                0.58803,                0.50973,             0.00014995,              9.995e-05,              9.995e-05
                     17,                0.67618,                0.56989,                 0.5293,                 0.8637,                0.81967,                0.87603,                0.43271,                0.59538,                0.55728,                0.44365,                 0.0001,                 0.0001,                 0.0001
                     18,                0.65408,                0.58937,                0.50434,                0.77835,                0.70149,                0.78524,                0.37996,                 0.6199,                0.64737,                0.44638,                 0.0001,                 0.0001,                 0.0001
                     19,                 0.6521,                0.57247,                0.50729,                 0.8587,                0.87562,                0.88334,                 0.4544,                0.59985,                0.49774,                0.44594,                 0.0001,                 0.0001,                 0.0001
                     20,                0.64414,                0.54664,                0.50136,                 0.9387,                0.86567,                0.93095,                0.44892,                0.60212,                0.49385,                0.46282,                 0.0001,                 0.0001,                 0.0001
                     21,                0.64337,                0.56271,                0.51254,                0.83033,                0.83085,                0.85484,                0.38881,                0.64403,                0.56261,                0.47376,                 0.0001,                 0.0001,                 0.0001
                     22,                0.64758,                 0.5579,                0.51676,                0.83323,                0.82032,                0.86738,                0.41771,                0.63074,                0.56697,                0.47931,                 0.0001,                 0.0001,                 0.0001
                     23,                 0.6136,                0.54958,                0.48496,                0.84737,                 0.8607,                0.88123,                0.43909,                0.61788,                0.52496,                0.46731,                 0.0001,                 0.0001,                 0.0001
                     24,                0.60411,                0.52683,                0.47538,                0.83921,                0.77903,                0.85927,                0.41922,                 0.6141,                0.58284,                0.44514,                 0.0001,                 0.0001,                 0.0001
                     25,                0.59836,                0.54681,                0.47815,                0.90856,                 0.8408,                0.90416,                0.45136,                0.61919,                 0.5307,                0.45696,                 0.0001,                 0.0001,                 0.0001
                     26,                0.59684,                0.53759,                0.48644,                0.92676,                0.84577,                0.88975,                0.44805,                0.58181,                0.52895,                0.43891,                 0.0001,                 0.0001,                 0.0001
                     27,                0.62009,                0.54892,                0.47794,                0.89372,                 0.8806,                0.89831,                0.46196,                0.57673,                0.53987,                0.43995,                 0.0001,                 0.0001,                 0.0001
                     28,                0.60269,                0.57071,                0.45778,                0.93015,                0.86123,                 0.9101,                0.44666,                0.58003,                0.55601,                 0.4334,                 0.0001,                 0.0001,                 0.0001
                     29,                0.58774,                0.53711,                0.46353,                0.94145,                0.84577,                0.91443,                0.48529,                0.53748,                0.56063,                0.40046,                 0.0001,                 0.0001,                 0.0001
                     30,                0.59042,                0.54454,                 0.4618,                0.94611,                0.87339,                0.90593,                0.45558,                0.57961,                0.52471,                0.44376,                 0.0001,                 0.0001,                 0.0001
                     31,                0.57668,                 0.5121,                0.44723,                0.93144,                0.87867,                0.92627,                0.51341,                0.53021,                0.52039,                 0.3843,                 0.0001,                 0.0001,                 0.0001
                     32,                0.58249,                0.52004,                0.45228,                0.93054,                0.88557,                0.91534,                 0.4982,                0.53765,                0.54435,                0.39089,                 0.0001,                 0.0001,                 0.0001
                     33,                0.59268,                0.51339,                0.47284,                0.89971,                0.85572,                0.90587,                0.48103,                0.52287,                0.62415,                0.37679,                 0.0001,                 0.0001,                 0.0001
                     34,                0.57597,                0.52057,                0.43968,                0.95521,                0.91045,                0.93574,                0.49232,                0.56744,                0.48847,                0.41914,                 0.0001,                 0.0001,                 0.0001
                     35,                 0.5827,                0.51176,                0.45118,                0.93057,                0.91045,                0.93231,                0.53304,                 0.5211,                0.50384,                 0.3683,                 0.0001,                 0.0001,                 0.0001
                     36,                   0.58,                0.50693,                0.45974,                0.94993,                 0.9005,                0.92129,                0.51868,                0.54237,                0.47522,                0.37709,                 0.0001,                 0.0001,                 0.0001
                     37,                0.56329,                0.50368,                 0.4429,                0.92382,                 0.9005,                0.92827,                0.52081,                0.51875,                 0.5041,                0.37475,                 0.0001,                 0.0001,                 0.0001
                     38,                 0.5695,                0.49611,                0.43696,                 0.9035,                0.85075,                0.89328,                0.51269,                 0.5292,                 0.5336,                0.39838,                 0.0001,                 0.0001,                 0.0001
                     39,                0.55787,                0.51794,                0.43762,                0.93413,                0.91542,                0.91878,                 0.5342,                0.53311,                0.48429,                0.39213,                 0.0001,                 0.0001,                 0.0001
                     40,                0.55882,                0.51968,                0.43394,                0.92211,                0.87562,                 0.9086,                0.49714,                0.54578,                0.52541,                0.38916,                 0.0001,                 0.0001,                 0.0001
                     41,                0.54021,                0.51497,                0.41642,                0.94439,                0.90547,                0.93143,                 0.5522,                0.50974,                0.46206,                0.37629,                 0.0001,                 0.0001,                 0.0001
                     42,                0.54598,                0.49702,                  0.424,                 0.9433,                0.92537,                0.93337,                0.56689,                0.50249,                0.45632,                0.34966,                 0.0001,                 0.0001,                 0.0001
                     43,                0.54617,                0.52524,                0.41199,                0.93583,                 0.9005,                0.92198,                0.54889,                0.49048,                0.51027,                0.34089,                 0.0001,                 0.0001,                 0.0001
                     44,                0.52929,                0.50777,                0.40914,                0.89664,                0.90631,                0.93075,                0.50615,                 0.5468,                0.49621,                0.41795,                 0.0001,                 0.0001,                 0.0001
                     45,                0.53447,                0.49687,                0.43006,                0.93855,                0.92537,                0.94317,                0.55638,                0.49966,                0.47786,                0.33818,                 0.0001,                 0.0001,                 0.0001
                     46,                0.55549,                0.51904,                0.40168,                0.92399,                0.89055,                0.92164,                0.56004,                0.50136,                0.49464,                0.33232,                 0.0001,                 0.0001,                 0.0001
                     47,                0.51712,                0.50341,                0.37801,                0.93058,                0.91542,                0.94177,                0.57098,                0.48297,                0.48085,                0.31765,                 0.0001,                 0.0001,                 0.0001
                     48,                0.52114,                0.51921,                0.37927,                0.95346,                0.91729,                0.94438,                0.58694,                0.47549,                0.48014,                 0.3221,                 0.0001,                 0.0001,                 0.0001
                     49,                0.51982,                0.50207,                0.37943,                0.93931,                0.93532,                0.93779,                0.58594,                0.48687,                0.46121,                0.32148,                 0.0001,                 0.0001,                 0.0001
                     50,                0.53577,                0.51645,                0.37994,                0.94906,                0.92689,                0.94237,                0.60465,                0.47184,                0.46134,                0.31169,                 0.0001,                 0.0001,                 0.0001
                     51,                0.50642,                0.52731,                0.35662,                0.97275,                0.86567,                0.93272,                 0.5844,                0.47125,                 0.5034,                0.30537,                 0.0001,                 0.0001,                 0.0001
                     52,                 0.5105,                0.52848,                0.37002,                0.91403,                 0.9204,                0.93303,                0.60547,                0.44443,                0.51118,                0.28854,                 0.0001,                 0.0001,                 0.0001
                     53,                0.51562,                0.50521,                0.37437,                0.91212,                0.87779,                0.91979,                 0.5788,                0.47522,                0.51992,                0.33024,                 0.0001,                 0.0001,                 0.0001
                     54,                 0.5017,                0.51637,                0.36837,                0.94619,                0.91542,                0.93796,                0.62003,                0.42693,                0.49212,                0.29139,                 0.0001,                 0.0001,                 0.0001
                     55,                0.46024,                 0.4778,                0.30935,                0.95851,                0.91943,                0.95015,                0.66982,                0.37729,                0.44898,                 0.2405,                 0.0001,                 0.0001,                 0.0001
                     56,                0.43059,                0.45999,                0.31437,                0.94385,                0.91984,                0.94761,                0.67634,                0.37266,                0.45428,                0.23689,                 0.0001,                 0.0001,                 0.0001
                     57,                0.43179,                0.46718,                0.32278,                0.97256,                0.91542,                0.96269,                0.68232,                 0.3855,                 0.4121,                0.25548,                 0.0001,                 0.0001,                 0.0001
                     58,                0.40333,                0.48173,                0.28882,                0.93019,                0.92815,                0.93969,                0.68541,                0.36628,                0.43365,                0.23579,                 0.0001,                 0.0001,                 0.0001
                     59,                0.39534,                0.46851,                  0.273,                0.93517,                 0.9329,                0.94502,                0.67766,                 0.3615,                0.43366,                0.23408,                 0.0001,                 0.0001,                 0.0001
                     60,                0.38925,                 0.4638,                0.28021,                0.95109,                 0.9204,                0.95268,                0.68177,                0.35272,                0.44916,                0.22606,                 0.0001,                 0.0001,                 0.0001
                     61,                0.37359,                0.46877,                0.26968,                0.93412,                0.91542,                0.93909,                0.69317,                0.35746,                0.43625,                0.23984,                 0.0001,                 0.0001,                 0.0001
                     62,                0.36566,                0.46555,                0.26134,                0.95419,                0.91045,                0.94977,                0.70591,                 0.3597,                 0.4087,                 0.2336,                 0.0001,                 0.0001,                 0.0001
                     63,                0.35496,                0.45078,                0.25383,                0.94904,                0.92653,                0.94848,                0.69021,                 0.3785,                0.41811,                0.25944,                 0.0001,                 0.0001,                 0.0001
                     64,                0.37678,                0.45777,                0.26638,                0.95318,                0.91163,                0.94886,                0.69719,                0.36313,                0.41454,                0.24236,                 0.0001,                 0.0001,                 0.0001
                     65,                0.37753,                0.41889,                0.27272,                 0.9421,                0.91542,                0.94468,                0.69679,                0.36829,                0.39348,                0.23922,                 0.0001,                 0.0001,                 0.0001
                     66,                0.36724,                0.42181,                0.27164,                0.93898,                0.93035,                0.94832,                0.69514,                0.36822,                0.40234,                0.23917,                 0.0001,                 0.0001,                 0.0001
                     67,                0.35331,                0.46252,                 0.2502,                0.93695,                 0.9204,                0.95227,                0.71201,                0.35832,                0.39721,                0.23579,                 0.0001,                 0.0001,                 0.0001
                     68,                0.35507,                0.45346,                0.25286,                0.95604,                0.92537,                0.94755,                0.70914,                0.35517,                0.37957,                0.22525,                 0.0001,                 0.0001,                 0.0001
                     69,                0.33545,                0.43253,                0.23137,                0.94435,                 0.9287,                0.94519,                0.71775,                0.35289,                0.37145,                0.22298,                 0.0001,                 0.0001,                 0.0001
                     70,                0.34201,                 0.4266,                0.24622,                0.93903,                0.93532,                0.94906,                0.72269,                0.33784,                0.39839,                0.21591,                 0.0001,                 0.0001,                 0.0001
                     71,                0.33612,                0.45825,                0.24781,                0.94946,                0.92537,                0.95488,                0.72716,                  0.336,                0.40347,                0.21384,                 0.0001,                 0.0001,                 0.0001
                     72,                0.32556,                  0.451,                0.21864,                0.94664,                0.92537,                0.95184,                0.72799,                0.34646,                0.40026,                0.23018,                 0.0001,                 0.0001,                 0.0001
                     73,                0.33288,                0.43535,                0.22601,                0.94963,                0.93793,                0.94735,                0.72833,                0.34692,                0.39315,                0.23229,                 0.0001,                 0.0001,                 0.0001
                     74,                0.32694,                0.42366,                0.23578,                0.92789,                0.93532,                0.94564,                0.72326,                0.34614,                0.40485,                0.22069,                 0.0001,                 0.0001,                 0.0001
                     75,                0.33006,                0.42811,                0.22693,                0.94088,                 0.9403,                0.95101,                0.72076,                0.36379,                0.37155,                0.24924,                 0.0001,                 0.0001,                 0.0001
                     76,                0.33597,                 0.4081,                 0.2431,                0.92935,                 0.9403,                  0.947,                0.72164,                0.36537,                0.37447,                0.25197,                 0.0001,                 0.0001,                 0.0001
                     77,                0.31683,                0.43192,                0.22718,                0.92347,                0.91542,                0.94446,                0.72171,                0.34806,                0.39691,                0.23839,                 0.0001,                 0.0001,                 0.0001
                     78,                0.32607,                0.42147,                0.23062,                0.95949,                0.94267,                 0.9587,                0.73383,                0.33888,                0.36331,                0.22779,                 0.0001,                 0.0001,                 0.0001
                     79,                0.32037,                0.42842,                0.22339,                0.94988,                0.94285,                0.95709,                0.73283,                0.34241,                0.36756,                0.21477,                 0.0001,                 0.0001,                 0.0001
                     80,                0.33504,                0.40668,                0.24627,                0.93561,                0.93982,                0.95067,                0.72566,                0.34793,                0.37884,                0.22446,                 0.0001,                 0.0001,                 0.0001
                     81,                0.31166,                 0.4223,                0.21477,                0.93778,                0.93532,                0.94363,                0.71705,                 0.3495,                0.39605,                 0.2231,                 0.0001,                 0.0001,                 0.0001
                     82,                0.30676,                0.42601,                   0.22,                0.94513,                 0.9426,                0.94305,                0.72099,                 0.3435,                0.39655,                0.21511,                 0.0001,                 0.0001,                 0.0001
                     83,                0.31624,                0.38797,                0.22217,                0.94993,                0.94382,                0.94528,                0.72202,                0.34247,                0.40045,                0.21963,                 0.0001,                 0.0001,                 0.0001
                     84,                0.31922,                0.39117,                0.22409,                0.94966,                0.93863,                0.94169,                0.72821,                0.34074,                0.37697,                0.22052,                 0.0001,                 0.0001,                 0.0001
                     85,                0.31039,                 0.4048,                0.21409,                 0.9351,                0.95025,                0.94647,                0.71934,                0.34869,                0.37852,                0.22869,                 0.0001,                 0.0001,                 0.0001
                     86,                0.29489,                0.41106,                 0.1977,                0.94313,                0.94527,                0.94641,                0.72511,                0.34862,                0.36586,                0.22694,                 0.0001,                 0.0001,                 0.0001
                     87,                0.30663,                 0.4022,                0.21241,                0.94086,                0.94971,                0.94532,                0.72541,                0.34817,                0.36563,                0.22686,                 0.0001,                 0.0001,                 0.0001
                     88,                0.29371,                0.39674,                0.19878,                 0.9475,                0.93035,                0.94509,                0.72464,                0.33698,                0.39328,                0.21967,                 0.0001,                 0.0001,                 0.0001
                     89,                0.29968,                0.37237,                0.22879,                0.94192,                0.93532,                 0.9398,                0.72134,                0.34686,                0.38754,                0.24192,                 0.0001,                 0.0001,                 0.0001
                     90,                0.29397,                0.40592,                0.20446,                0.93925,                0.92296,                 0.9404,                0.72019,                 0.3408,                0.39925,                0.22796,                 0.0001,                 0.0001,                 0.0001
                     91,                0.29932,                0.37947,                0.21096,                0.94161,                0.93035,                0.94357,                0.72568,                0.33883,                0.39966,                0.22453,                 0.0001,                 0.0001,                 0.0001
                     92,                0.30499,                0.38988,                0.21165,                0.94467,                 0.9344,                0.94615,                0.72713,                0.33753,                0.38774,                0.22489,                 0.0001,                 0.0001,                 0.0001
                     93,                0.29483,                 0.3791,                0.20991,                0.94112,                0.92537,                0.94346,                0.73228,                0.33885,                0.38371,                0.21887,                 0.0001,                 0.0001,                 0.0001
                     94,                 0.3056,                0.36876,                0.22059,                0.92833,                0.93532,                0.94191,                0.73412,                0.34236,                0.37606,                0.23614,                 0.0001,                 0.0001,                 0.0001
                     95,                0.29041,                0.42256,                0.19894,                 0.9306,                0.91542,                0.93827,                0.72593,                0.34133,                0.40818,                0.22303,                 0.0001,                 0.0001,                 0.0001
                     96,                0.29078,                0.39611,                0.20169,                0.92255,                0.93035,                0.94085,                0.72535,                 0.3377,                 0.4016,                0.21906,                 0.0001,                 0.0001,                 0.0001
                     97,                0.29067,                0.41303,                0.20293,                0.93963,                 0.9403,                0.94381,                0.72927,                0.33413,                0.38745,                0.21418,                 0.0001,                 0.0001,                 0.0001
                     98,                0.29213,                 0.3876,                0.20225,                0.93817,                0.93532,                0.94231,                0.72951,                0.33207,                0.39419,                0.21207,                 0.0001,                 0.0001,                 0.0001
                     99,                  0.291,                0.37276,                0.20491,                0.93964,                0.92941,                0.93906,                 0.7302,                0.33342,                0.39289,                0.21501,                 0.0001,                 0.0001,                 0.0001
                    100,                0.28449,                0.38586,                0.19892,                0.91655,                0.92899,                0.93713,                0.72921,                0.33563,                0.39997,                0.21409,                 0.0001,                 0.0001,                 0.0001
